ip,ttl,hostname,reply_len
184.104.199.202,8,69.64.226.248,20
163.253.2.87,14,70.167.155.157,48
74.118.152.90,12,74.118.152.90,20
74.212.26.4,14,74.212.26.222,20
104.44.53.80,22,74.234.138.202,20
163.253.1.227,9,75.2.14.173,48
163.253.1.227,9,75.2.60.5,48
163.253.1.227,9,75.2.70.75,48
163.253.1.225,9,75.2.8.18,48
163.253.1.227,9,76.223.63.214,48
163.253.1.227,9,76.76.21.21,48
77.109.32.11,18,77.109.32.11,20
72.52.92.129,9,77.223.103.125,20
87.245.239.39,14,78.153.140.17,20
62.115.120.71,15,78.46.106.238,48
62.115.120.71,14,78.46.22.9,48
149.6.134.98,20,79.99.203.51,20
4.15.206.22,12,8.25.82.176,20
32.130.90.83,14,8.33.28.187,48
80.69.200.169,10,80.69.201.235,20
184.104.189.26,9,81.19.86.20,20
78.24.91.20,12,81.201.129.102,20
81.92.83.163,14,81.92.80.56,20
82.115.4.240,14,82.115.4.240,20
62.117.100.140,16,82.138.41.201,48
194.190.254.162,17,82.179.190.52,20
82.221.168.229,14,82.221.105.38,48
72.52.92.129,10,84.252.74.118,20
12.55.45.233,10,85.14.4.125,48
85.143.254.218,15,85.143.216.244,20
62.115.140.217,14,85.206.142.10,48
85.30.128.70,14,85.30.129.39,48
80.69.64.5,19,86.105.245.69,20
63.223.51.58,17,87.233.198.7,48
184.104.189.26,9,87.236.16.14,20
62.117.100.140,17,87.245.138.20,48
63.220.64.255,17,87.250.250.241,48
212.78.92.181,18,88.202.190.120,20
63.218.65.58,18,88.208.22.1,48
63.218.65.54,18,88.208.36.28,48
63.218.65.58,18,88.208.55.39,48
62.115.120.71,14,88.99.216.235,48
31.177.95.199,14,89.111.144.70,20
89.218.176.194,11,89.218.176.194,20
72.52.92.70,10,89.218.51.17,20
82.212.87.6,18,89.28.217.122,20
90.156.207.18,18,90.156.207.18,20
72.52.92.129,9,91.106.207.89,20
72.52.92.129,9,91.197.76.6,20
91.204.72.68,11,91.204.72.17,20
62.115.113.49,15,91.215.42.109,48
154.54.61.177,22,91.216.106.23,48
91.224.147.222,15,91.224.147.222,20
212.188.45.114,18,91.228.177.207,20
62.115.112.90,15,91.234.30.215,48
12.55.45.233,10,91.246.16.221,48
72.52.92.165,9,92.127.158.53,20
62.115.135.25,13,92.204.63.32,20
92.207.166.155,16,92.207.166.155,20
62.115.114.111,15,93.115.92.172,20
80.94.162.58,22,93.125.120.25,20
141.98.62.23,11,93.174.10.103,20
212.118.242.14,15,93.184.251.27,20
93.190.46.60,18,93.190.40.120,20
184.104.199.221,9,93.95.98.63,20
62.115.120.71,15,94.130.145.107,48
62.115.120.71,16,94.130.197.239,48
62.115.120.71,14,94.130.198.6,48
213.251.130.102,10,94.23.32.123,48
94.23.122.144,10,94.23.75.168,48
51.210.113.70,11,94.23.83.19,20
195.219.220.129,17,95.100.110.5,20
184.104.198.58,11,95.181.181.89,20
184.104.199.221,8,95.191.130.184,20
135.181.118.151,18,95.216.92.116,20
65.108.119.32,19,95.217.22.178,20
148.62.41.99,12,98.129.228.59,20
62.115.138.169,14,99.80.60.134,20
163.253.1.225,9,99.83.190.102,48
